id,Summary,Component,Status,Owner,Type,Priority,Milestone,Severity,Resolution,Actual Points,Points,Sponsor,Keywords
28614,Can't parse networkstatus consensus time,Core Tor/Tor,closed,nickm,defect,High,Tor: 0.4.0.x-final,Normal,fixed,,,Sponsor8,"040-must, 040-rc-must, regression, postfreeze-ok, tbb-needs, 040-backport"
30004,"when reloading a consensus with a CRLF, log at notice.",Core Tor/Tor,closed,nickm,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,.1,.1,Sponsor8,"040-must, 040-rc-must, regression, postfreeze-ok, tbb-needs, 040-backport"
25727,Add bool types to Rust coding standards guidelines,Core Tor/Tor,closed,catalyst,enhancement,Medium,Tor: unspecified,Normal,wontfix,,.1,SponsorM-can,"torspec, rust, fast-fix, 035-triaged-in-20180711"
30184,release-0.2.9 doesn't compile on old rhel,Core Tor/Tor,merge_ready,,defect,Medium,Tor: 0.2.9.x-final,Normal,,0.2,0.1,SponsorQ,"no-mainline-merge, regression, fast-fix, consider-backport-after-0404"
24298,Better handling of DoS attacks on onion services,Core Tor/Tor,closed,,defect,Medium,Tor: unspecified,Normal,fixed,,,SponsorV,"tor-hs, prop224, tor-dos, 034-triage-20180328, 034-removed-20180328"
29668,Drop thread_fast_rng during postfork; improve thread_fast_rng fork-safety,Core Tor/Tor,closed,nickm,defect,High,Tor: 0.4.1.x-final,Normal,fixed,.2,.1,SponsorV,asn-merge
24929,Maybe load balance pinned middles?,Core Tor/Tor,closed,,enhancement,Medium,Tor: 0.3.3.x-final,Normal,implemented,,,SponsorV-can,guard-discovery
27199,"panic inside rust extern ""C"" function is undefined behavior",Core Tor/Tor,closed,,defect,Medium,Tor: 0.3.4.x-final,Normal,fixed,0.1,0.1,SponsorV-can,"nickm-merge, rust, 034-backport, 035-backport, 040-backport, 041-proposed, 033-backport-unreached, consider-backport-after-0404"
29017,PaddingStatistics should be disabled when ExtraInfoStatistics is 0,Core Tor/Tor,closed,teor,defect,Low,Tor: 0.3.4.x-final,Normal,fixed,1.3,0.2,SponsorV-can,"fast-fix, 035-backport, 034-backport, postfreeze-ok, 040-can, dgoulet-merge, 033-backport-unreached, network-team-roadmap-2019-Q1Q2, consider-backport-after-0404"
993,Add ExitPolicy by country,Core Tor/Tor,closed,,enhancement,Low,Tor: unspecified,Normal,duplicate,,,,tor-relay
3847,Provide ability to round robin outgoing exit connections on multiple interfaces,Core Tor/Tor,closed,,enhancement,Medium,Tor: unspecified,Normal,duplicate,,3,,"performance, port-exhaustion, tor-relay, tor-dos"
13221,Misleading error messages about bind_ipv4_only and bind_ipv6_only?,Core Tor/Tor,closed,,defect,Low,Tor: 0.3.5.x-final,Normal,fixed,.1,.1,,"041-proposed, tor-client, easy, logging, message, usability, 035-backport, 040-backport, consider-backport-after-0404"
15251,Make tor support starting with 10.000 Tor Hidden Service,Core Tor/Tor,closed,,task,Low,Tor: unspecified,Normal,duplicate,,10,,"tor-hs, scalability, tor-dos"
21115,Building Tor With Static SNI,Core Tor/Tor,closed,,enhancement,Medium,Tor: unspecified,Normal,duplicate,,1,,"easy, intro, torrc, configuration"
21377,DirAuths should expose bwauth bandwidth files,Core Tor/Tor,closed,juga,enhancement,High,Tor: 0.4.0.x-final,Normal,fixed,0.3,0.2,,"authority-test-done, tor-dirauth, metrics-needs, tor-bwauth, 035-removed-20180711, 040-roadmap-proposed, 040-backport"
21501,implement TFO aka TCP FAST OPEN to save RTT,Core Tor/Tor,closed,,enhancement,Low,Tor: unspecified,Minor,duplicate,,,,tor-client tor-relay tcp-fast-open
22022,Move to cryptography for ed25519 validation,Core Tor/Stem,closed,atagar,enhancement,Medium,,Minor,implemented,,,,descriptor unactionable
6815,"Warn: Your server (1.2.3.4:80) has not managed to confirm that its DirPort is reachable. Please check your firewalls, ports, address, /etc/hosts file, etc.",Core Tor/Tor,closed,,defect,Medium,Tor: 0.2.4.x-final,,fixed,,,,tor-relay
24490,Stop setting bridges running in networkstatus_getinfo_by_purpose(),Core Tor/Tor,closed,neel,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,,1,,"easy, intro, refactor, code-correctness"
24902,Denial of Service mitigation subsystem,Core Tor/Tor,closed,dgoulet,enhancement,Very High,Tor: 0.3.3.x-final,Normal,fixed,,,,"tor-dos, tor-relay, review-group-30, 029-backport, 031-backport, 032-backport, review-group-31, SponsorV"
26644,Don't require sbws tests to set log level,Core Tor/sbws,closed,,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
26671,"V3BWFile.write is not a class/static method, but is called like one",Core Tor/sbws,closed,juga,defect,Immediate,sbws: 1.0.x-final,Normal,fixed,,,,sbws-1.0must
26937,sbws: Warn when there is not enough disk space,Core Tor/sbws,closed,juga,enhancement,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
27342,sbws poor error handling,Core Tor/sbws,closed,pastly,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
27346,Improve sbws bandwidth accuracy,Core Tor/sbws,closed,,defect,Medium,sbws: unspecified,Normal,wontfix,,,,
27512,Stop making disk space syscalls,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
27786,sbws: use at least 4 measurements that are at least 6 hours apart,Core Tor/sbws,closed,,enhancement,Medium,sbws: unspecified,Normal,wontfix,,,,
27787,sbws: use at least 3 days of observed bandwidths,Core Tor/sbws,closed,,enhancement,Medium,sbws: unspecified,Normal,wontfix,,,,
27788,sbws: weight bandwidths based on the time since the last bandwidth,Core Tor/sbws,closed,,enhancement,Medium,sbws: unspecified,Normal,wontfix,,,,
27789,sbws: use a decaying average for measured and observed bandwidths,Core Tor/sbws,closed,,enhancement,Medium,sbws: unspecified,Normal,wontfix,,,,
27916,Don't print default values for arguments twice,Core Tor/sbws,closed,,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
