id,Summary,Sponsor,Status,Owner,Type,Priority,Milestone,Component,Severity,Keywords
28203,Make chutney log the bootstrap progress for each node,Sponsor8-can,assigned,teor,defect,Medium,,Core Tor/Chutney,Normal,"test, chutney, consistency, jenkins, integration-testing, continuous-integration"
28226,Backend for an async publish-subcribe messaging system for cross-module communications,Sponsor8,needs_review,nickm,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,tor-pubsub
28348,Setting DisableNetwork won't disable NEED_NET events,Sponsor8,merge_ready,,defect,Medium,Tor: 0.3.4.x-final,Core Tor/Tor,Normal,034-backport
28351,Test clock skewed clients using chutney,Sponsor8-can,assigned,teor,enhancement,Medium,,Core Tor/Chutney,Normal,"bootstrap, clock-skew, tor-guard, usability, ux, s8-errors, 035-roadmap-subtask, s8-bootstrap"
28363,Make a torrc option which prevents Tor from falling asleep,Sponsor8-can,assigned,arma,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,
28423,improve precision of finegrained periodic event scheduling?,Sponsor8,assigned,nickm,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
28424,Refactor hs_service_callback() to no longer need to run once per second?,Sponsor8-can,new,,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
28481,Tor's startup time is getting slower on Android,Sponsor8-can,new,,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,android startup performance controller
28591,Accept a future consensus for bootstrap,Sponsor8-can,merge_ready,teor,defect,Medium,Tor: 0.3.5.x-final,Core Tor/Tor,Normal,"bootstrap, clock-skew, tor-guard, usability, ux, s8-errors, 035-roadmap-subtask, 035-triaged-in-20180711, s8-bootstrap"
28702,bootstrapping slow at times,Sponsor8-can,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,s8-bootstrap-maybe
28703,bootstrapping very slow with filtered network,Sponsor8-can,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,s8-bootstrap-maybe
28708,TBA 8.5a5 - about:tor is not the default homepage after upgrade,Sponsor8,new,tbb-team,defect,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3"
28814,Backport 1480079 - Allow installing apps downloaded by Tor Browser,Sponsor8,new,tbb-team,defect,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901"
28837,Use openssl's SHA3 implementations when they are faster.,Sponsor8-can,needs_review,nickm,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,android startup performance controller
28845,evloop could be better at handling fork() in tests,Sponsor8,new,,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
28926,improve reporting of directory bootstrap progress,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"s8-bootstrap, ux, directory"
2915,Explore options to reduce binary size of Tor,Sponsor8-can,new,,enhancement,Low,Tor: unspecified,Core Tor/Tor,Normal,"tor-client, modularity, download-size, memory, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328"
22706,Compress cached descriptors and consensus,Sponsor8-can,new,,enhancement,Low,Tor: unspecified,Core Tor/Tor,Normal,"sponsor8-maybe, disk-usage, 034-triage-20180328, 034-removed-20180328, 035-removed-20180711"
